"","ZipCode","avg_outcome_ems","avg_outcome_police","avg_outcome_ed","avg_outcome_death","avg_outcome_unk","avg_outcome_ok","avg_od_drug_heroin","avg_od_drug_cocaine","avg_od_drug_fentanyl","avg_od_drug_unknown","avg_od_drug_other","avg_od_present_breath","avg_od_present_unresponsive","avg_od_present_coloring","avg_od_present_other","avg_cpr_used","n_observations","Naloxone.Pickups","Incident2014Q1","Incident2014Q2","Incident2014Q3","Incident2014Q4","Incident2015Q1","Incident2015Q2","Incident2015Q3","Incident2015Q4","Incident2016Q1","Incident2016Q2","Incident2016Q3","Incident2016Q4","Incident2017Q1","Incident2017Q2","Incident2017Q3","Incident2017Q4","Incident2018Q1","Incident2018Q2","Incident2018Q3","Incident2018Q4","Resident2014Q1","Resident2014Q2","Resident2014Q3","Resident2014Q4","Resident2015Q1","Resident2015Q2","Resident2015Q3","Resident2015Q4","Resident2016Q1","Resident2016Q2","Resident2016Q3","Resident2016Q4","Resident2017Q1","Resident2017Q2","Resident2017Q3","Resident2017Q4","Resident2018Q1","Resident2018Q2","Resident2018Q3","Resident2018Q4","hf_physicians_number","hf_programs_number","hf_providers_number","Bup.More.Than.30","Incident2014Q1.integer","Incident2014Q2.integer","Incident2014Q3.integer","Incident2014Q4.integer","Incident2015Q1.integer","Incident2015Q2.integer","Incident2015Q3.integer","Incident2015Q4.integer","Incident2016Q1.integer","Incident2016Q2.integer","Incident2016Q3.integer","Incident2016Q4.integer","Incident2017Q1.integer","Incident2017Q2.integer","Incident2017Q3.integer","Incident2017Q4.integer","Incident2018Q1.integer","Incident2018Q2.integer","Incident2018Q3.integer","Incident2018Q4.integer","Resident2014Q1.integer","Resident2014Q2.integer","Resident2014Q3.integer","Resident2014Q4.integer","Resident2015Q1.integer","Resident2015Q2.integer","Resident2015Q3.integer","Resident2015Q4.integer","Resident2016Q1.integer","Resident2016Q2.integer","Resident2016Q3.integer","Resident2016Q4.integer","Resident2017Q1.integer","Resident2017Q2.integer","Resident2017Q3.integer","Resident2017Q4.integer","Resident2018Q1.integer","Resident2018Q2.integer","Resident2018Q3.integer","Resident2018Q4.integer","overdose_deaths","overdose_deaths2"
"11","19140",0.407894736842105,0.3125,0.03125,0.046875,0.0625,0.375,0.876712328767123,0.136986301369863,0.36986301369863,0.0821917808219178,0.0526315789473684,0.361111111111111,0.555555555555556,0.291666666666667,0.0277777777777778,0.583333333333333,78,702,"7","10","6","10","<6","10","9","12","7","10","6","9","13","21","8","10","9","17","12","11","6","11","<6","8","<6","8","8","12","<6","8","6","7","11","14","7","10","7","15","16","8",26,NA,26,4,7,10,6,10,1,10,9,12,7,10,6,9,13,21,8,10,9,17,12,11,6,11,1,8,1,8,8,12,1,8,6,7,11,14,7,10,7,15,16,8,165,198
"12","19143",0.380952380952381,0.166666666666667,0.0555555555555556,0,0,0.666666666666667,0.75,0.1,0.45,0,0.0476190476190476,0.526315789473684,0.526315789473684,0.578947368421053,0.0526315789473684,0.4,28,332,"<6","<6","<6","6","<6","7","<6","8","8","<6","<6","9","7","6","6","<6","<6","8","9","<6","<6","<6","<6","<6","<6","7","<6","8","7","<6","<6","12","8","9","<6","<6","6","9","7","<6",5,1,5,1,1,1,1,6,1,7,1,8,8,1,1,9,7,6,6,1,1,8,9,1,1,1,1,1,1,7,1,8,7,1,1,12,8,9,1,1,6,9,7,1,84,84
"13","19145",0.289473684210526,0.0645161290322581,0.129032258064516,0,0.0967741935483871,0.483870967741935,0.736842105263158,0.157894736842105,0.421052631578947,0.105263157894737,0.184210526315789,0.307692307692308,0.538461538461538,0.487179487179487,0.0512820512820513,0.363636363636364,40,518,"<6","8","<6","<6","7","<6","<6","<6","8","10","<6","<6","15","13","7","<6","7","9","<6","10","<6","7","<6","<6","6","<6","<6","<6","7","10","6","<6","15","12","8","<6","<6","7","<6","7",8,NA,8,0,1,8,1,1,7,1,1,1,8,10,1,1,15,13,7,1,7,9,1,10,1,7,1,1,6,1,1,1,7,10,6,1,15,12,8,1,1,7,1,7,95,104
"14","19148",0.296296296296296,0.173913043478261,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.565217391304348,0.730769230769231,0.0769230769230769,0.384615384615385,0.0769230769230769,0.0740740740740741,0.384615384615385,0.615384615384615,0.423076923076923,0,0.857142857142857,32,906,"6","7","<6","<6","9","<6","<6","10","7","13","7","17","9","13","14","7","10","10","21","12","<6","9","<6","<6","8","<6","<6","7","7","10","8","16","12","14","16","7","11","9","20","15",4,NA,4,1,6,7,1,1,9,1,1,10,7,13,7,17,9,13,14,7,10,10,21,12,1,9,1,1,8,1,1,7,7,10,8,16,12,14,16,7,11,9,20,15,174,176
"15","19149",0.40625,0.178571428571429,0.107142857142857,0,0.107142857142857,0.607142857142857,0.838709677419355,0.0967741935483871,0.419354838709677,0.0645161290322581,0.0645161290322581,0.466666666666667,0.516129032258065,0.645161290322581,0.0645161290322581,0.5,34,356,"<6","<6","<6","<6","<6","<6","7","<6","<6","<6","<6","10","7","8","7","8","6","<6","6","8","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","11","6","9","10","10","<6","<6","8","9",4,NA,4,0,1,1,1,1,1,1,7,1,1,1,1,10,7,8,7,8,6,1,6,8,1,1,1,1,1,1,1,1,1,1,1,11,6,9,10,10,1,1,8,9,76,78
"16","19152",0.363636363636364,0.214285714285714,0,0,0,0.428571428571429,0.526315789473684,0.0526315789473684,0.473684210526316,0.105263157894737,0.0909090909090909,0.5,0.55,0.65,0,0.875,26,232,"<6","<6","<6","<6","<6","<6","6","<6","<6","9","7","7","7","8","9","6","9","<6","8","<6","<6","<6","<6","<6","<6","<6","7","<6","0","7","<6","7","<6","7","<6","6","6","6","<6","<6",7,NA,7,3,1,1,1,1,1,1,6,1,1,9,7,7,7,8,9,6,9,1,8,1,1,1,1,1,1,1,7,1,0,7,1,7,1,7,1,6,6,6,1,1,58,86
"17","19154",0.59375,0.2,0,0.08,0.16,0.44,0.733333333333333,0.2,0.633333333333333,0.0333333333333333,0.125,0.3,0.4,0.633333333333333,0,0.5,33,281,"<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","6","7","6","9","8","6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","6","7","7","12","8","<6","<6","<6","7",2,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,6,7,6,9,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,12,8,1,1,1,7,61,56
"18","19116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,"<6","<6","<6","<6","<6","<6","<6","0","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","7","<6","<6","<6","<6","<6","<6","<6","7","<6","6","<6",12,NA,12,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,7,1,6,1,37,19
"19","19115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,"<6","0","<6","<6","0","<6","<6","<6","<6","<6","<6","0","<6","<6","<6","6","<6","<6","<6","<6","<6","<6","<6","<6","0","<6","<6","0","<6","<6","<6","0","<6","<6","<6","6","<6","<6","<6","<6",6,1,6,3,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,6,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,6,1,1,1,1,22,22
"20","19114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,"<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","7","<6","<6","8","6","<6","<6","8","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","7","7","<6","8","6","<6","<6","10","7","<6",5,NA,5,1,1,1,1,1,1,1,1,1,1,1,7,1,1,8,6,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,8,6,1,1,10,7,1,59,45
